file_path,composer,full_name,birth_year,death_year,era,composition_year,form,key,instrumentation,tempo_marking,duration_seconds,total_notes,source,quality_flag,quality_note
data/raw/piano_midi/maestro-v3.0.0/2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,Alban Berg,Alban Berg,0,0,Other,2018,,,solo_piano,,698.661160312,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2008/MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--2.midi,Alban Berg,Alban Berg,0,0,Other,2008,,,solo_piano,,759.51847125,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2017/MIDI-Unprocessed_066_PIANO066_MID--AUDIO-split_07-07-17_Piano-e_3-02_wav--3.midi,Alban Berg,Alban Berg,0,0,Other,2017,,,solo_piano,,464.649432608,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_21_R1_2004_01_ORIG_MID--AUDIO_21_R1_2004_01_Track01_wav.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2004,,,solo_piano,,872.640588096,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2006/MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2006,,,solo_piano,,397.857508125,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2009/MIDI-Unprocessed_07_R1_2009_04-05_ORIG_MID--AUDIO_07_R1_2009_07_R1_2009_04_WAV.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2009,,,solo_piano,,400.557825938,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_07_WAV.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2009,,,solo_piano,,163.745829844,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_19_R2_2013_wav--3.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2013,,,solo_piano,,563.904350625,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_04_WAV.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2009,,,solo_piano,,136.315301719,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_05_WAV.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2009,,,solo_piano,,167.085837188,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2011/MIDI-Unprocessed_15_R1_2011_MID--AUDIO_R1-D6_09_Track09_wav.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2011,,,solo_piano,,102.007109531,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_04_Track04_wav.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2006,,,solo_piano,,550.997045156,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_11_R3_2013_wav--3.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2013,,,solo_piano,,512.164284844,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2011/MIDI-Unprocessed_09_R1_2011_MID--AUDIO_R1-D3_15_Track15_wav.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2011,,,solo_piano,,476.806414219,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--5.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2014,,,solo_piano,,486.857152031,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_06_WAV.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2009,,,solo_piano,,138.421335938,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2008/MIDI-Unprocessed_01_R1_2008_01-04_ORIG_MID--AUDIO_01_R1_2008_wav--3.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2008,,,solo_piano,,463.605305625,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2006/MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_02_Track02_wav.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2006,,,solo_piano,,613.737367031,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--4.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2018,,,solo_piano,,701.147803125,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018_wav--2.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2018,,,solo_piano,,685.005992344,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2017/MIDI-Unprocessed_079_PIANO079_MID--AUDIO-split_07-09-17_Piano-e_1-04_wav--4.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2017,,,solo_piano,,661.909149792,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018_wav--2.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2018,,,solo_piano,,1120.09102734,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_11_R1_2018_wav--2.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2018,,,solo_piano,,1195.01082422,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2018/MIDI-Unprocessed_Chamber6_MID--AUDIO_20_R3_2018_wav--2.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2018,,,solo_piano,,1117.95828375,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_03_R1_2013_wav--4.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2013,,,solo_piano,,440.110403906,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_12_Track12_wav.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2004,,,solo_piano,,659.835660317,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2018/MIDI-Unprocessed_Recital12_MID--AUDIO_12_R1_2018_wav--2.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2018,,,solo_piano,,701.488347656,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_04_WAV.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2009,,,solo_piano,,706.203887813,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2009/MIDI-Unprocessed_19_R1_2009_03-04_ORIG_MID--AUDIO_19_R1_2009_19_R1_2009_04_WAV.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2009,,,solo_piano,,648.955013438,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--4.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2008,,,solo_piano,,601.648703906,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_21_R1_2014_wav--6.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2014,,,solo_piano,,707.903939531,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_22_R1_2014_wav--4.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2014,,,solo_piano,,644.840434219,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_04_Track04_wav.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2006,,,solo_piano,,476.652835312,0,maestro,1,
data/raw/piano_midi/maestro-v3.0.0/2006/MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_03_Track03_wav.midi,Alexander Scriabin,Alexander Scriabin,0,0,Other,2006,,,solo_piano,,426.268270313,0,maestro,1,
