filepath,composer,era,interval_prime_density,duration_prime_ratio,climax_position_ratio,climax_golden_distance,climax_near_golden,fibonacci_interval_ratio,fibonacci_phrase_ratio,lucas_interval_ratio,perfect_interval_ratio,triangular_interval_ratio,golden_section_ratio_score,pythagorean_duration_ratio,cumulative_prime_ratio
data/raw/piano_midi/maestro-v3.0.0/2017/MIDI-Unprocessed_066_PIANO066_MID--AUDIO-split_07-07-17_Piano-e_3-02_wav--3.midi,Alban Berg,Other,0.2902542372881356,0.3735769128938311,0.9915276674609479,0.3734936787110531,0.0,0.263771186440678,0.7194388777555111,0.3339512711864407,0.06859110169491525,0.2529131355932203,0.0,0.14671610169491525,0.08790045009266614
data/raw/piano_midi/maestro-v3.0.0/2006/MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,Alexander Scriabin,Other,0.2428842504743833,0.08442020393644771,0.8363765710220535,0.21834258227215875,0.0,0.13543643263757116,0.7212822796081924,0.1935483870967742,0.1674573055028463,0.30787476280834913,0.0,0.07898481973434535,0.0851316101493953
data/raw/piano_midi/maestro-v3.0.0/2009/MIDI-Unprocessed_07_R1_2009_04-05_ORIG_MID--AUDIO_07_R1_2009_07_R1_2009_04_WAV.midi,Alexander Scriabin,Other,0.3680504077094144,0.32271211559836976,0.4794368284549833,0.13859716029491148,0.0,0.36582653817642696,0.7367668097281831,0.3413639733135656,0.042994810971089696,0.2679762787249815,0.0,0.16567828020756115,0.09670248240088922
data/raw/piano_midi/maestro-v3.0.0/2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_07_WAV.midi,Alexander Scriabin,Other,0.5611246943765281,0.15384615384615385,0.32112332112332115,0.29691066762657364,0.0,0.6039119804400978,0.7535545023696683,0.5904645476772616,0.10146699266503667,0.5709046454767727,0.0,0.1100244498777506,0.0989010989010989
data/raw/piano_midi/maestro-v3.0.0/2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_19_R2_2013_wav--3.midi,Alexander Scriabin,Other,0.32713627835579057,0.28478854024556616,0.2834242837653479,0.3346097049845469,0.0,0.2466314173631247,0.7344849648112604,0.26044687020296775,0.0448575814429473,0.17772471431008016,0.0,0.11222923418045369,0.08168485675306958
data/raw/piano_midi/maestro-v3.0.0/2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_04_WAV.midi,Alexander Scriabin,Other,0.36764705882352944,0.415819209039548,0.6937853107344633,0.07575132198456846,0.0,0.2703619909502262,0.7236842105263158,0.31447963800904977,0.04524886877828054,0.22171945701357465,0.0,0.18099547511312217,0.096045197740113
data/raw/piano_midi/maestro-v3.0.0/2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_05_WAV.midi,Alexander Scriabin,Other,0.33816587997302766,0.06302662622177284,0.8530502190765082,0.23501623032661345,0.0,0.27073499662845585,0.7375621890547264,0.29028995279838166,0.06540795684423466,0.22387053270397841,0.0,0.07147673634524612,0.08527131782945736
data/raw/piano_midi/maestro-v3.0.0/2011/MIDI-Unprocessed_15_R1_2011_MID--AUDIO_R1-D6_09_Track09_wav.midi,Alexander Scriabin,Other,0.229082774049217,0.011627906976744186,0.9932915921288015,0.3752576033789067,0.0,0.19955257270693513,0.7555555555555555,0.43087248322147653,0.043400447427293064,0.16868008948545862,0.0,0.049664429530201344,0.09168157423971378
data/raw/piano_midi/maestro-v3.0.0/2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_04_Track04_wav.midi,Alexander Scriabin,Other,0.255601516718373,0.20868516284680338,0.084956057211787,0.5330779315381078,0.0,0.22371596001378835,0.7325268817204301,0.3007583591864874,0.05618752154429507,0.18528093760772146,0.0,0.11530506721820062,0.09288299155609167
data/raw/piano_midi/maestro-v3.0.0/2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_11_R3_2013_wav--3.midi,Alexander Scriabin,Other,0.3235336503818994,0.15936599423631123,0.9118155619596542,0.2937815732097594,0.0,0.2690589422106932,0.7244094488188977,0.2912523418359994,0.04626026805015132,0.20651390690301197,0.0,0.08646779074794639,0.08270893371757924
data/raw/piano_midi/maestro-v3.0.0/2011/MIDI-Unprocessed_09_R1_2011_MID--AUDIO_R1-D3_15_Track15_wav.midi,Alexander Scriabin,Other,0.32561307901907355,0.17617678220069624,0.9135765097623733,0.29554252101247847,0.0,0.25552528004844083,0.7414094350611532,0.27550711474417194,0.045413260672116255,0.1951256433545262,0.0,0.0950650923402967,0.08082336915392765
data/raw/piano_midi/maestro-v3.0.0/2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--5.midi,Alexander Scriabin,Other,0.3051416885772714,0.1361180078866657,0.9148532203884913,0.29681923163859647,0.0,0.25080338884019865,0.7378587196467992,0.27753432661408123,0.04864154250657318,0.2011393514460999,0.0,0.07697925796085306,0.08354023659997079
data/raw/piano_midi/maestro-v3.0.0/2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_06_WAV.midi,Alexander Scriabin,Other,0.2966934763181412,0.2,0.16785714285714284,0.450176845892752,0.0,0.26988382484361034,0.8060200668896321,0.30563002680965146,0.10277033065236818,0.2725647899910634,0.0,0.1224307417336908,0.09285714285714286
data/raw/piano_midi/maestro-v3.0.0/2008/MIDI-Unprocessed_01_R1_2008_01-04_ORIG_MID--AUDIO_01_R1_2008_wav--3.midi,Alexander Scriabin,Other,0.4065238558909445,0.2885644768856448,0.8632603406326034,0.24522635188270858,0.0,0.436222005842259,0.7543520309477756,0.437682570593963,0.0501460564751704,0.2638753651411879,0.0,0.13485881207400194,0.09927007299270073
data/raw/piano_midi/maestro-v3.0.0/2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_03_R1_2013_wav--4.midi,Alexander Scriabin,Other,0.3140161725067385,0.11217786760990399,0.1640559204985683,0.45397806825132647,0.0,0.24663072776280323,0.730820995962315,0.29161051212938005,0.06704851752021564,0.2134433962264151,0.0,0.08254716981132075,0.08354387737914772
data/raw/piano_midi/maestro-v3.0.0/2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_04_Track04_wav.midi,Alexander Scriabin,Other,0.3024054982817869,0.2188957055214724,0.2559509202453988,0.362083068504496,0.0,0.3586156111929308,0.7734597156398104,0.4054982817869416,0.08443789887088857,0.31418753068237604,0.0,0.11192930780559647,0.08957055214723926
data/raw/piano_midi/maestro-v3.0.0/2006/MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_03_Track03_wav.midi,Alexander Scriabin,Other,0.301307966706302,0.16096053257251544,0.23894436519258203,0.3790896235573128,0.0,0.3657550535077289,0.7648673376029277,0.42306777645659926,0.0925089179548157,0.31985731272294887,0.0,0.09655172413793103,0.08178792201616739
